food,calories,protein,fat,carbs
agathi leaves,295.0,8.01,1.35,5.21
allathi,406.0,21.77,0.98,0.0
almond,2549.0,18.41,58.49,3.04
almonds,579.0,21.0,50.0,22.0
aluva,434.0,21.63,1.8,0.0
amaranth leaves green,128.0,3.29,0.65,2.28
amaranth leaves red and green mix,132.0,3.09,0.53,2.87
amaranth leaves red mix,140.0,3.93,0.63,2.37
amaranth seed black,1490.0,14.59,5.74,59.98
amaranth seed pale brown,1489.0,13.27,5.56,61.46
amaranth spinosus leaves green mix,110.0,3.54,0.36,1.61
amaranth spinosus leaves red and green mix,99.0,2.8,0.34,1.45
anchovy,367.0,19.88,0.78,0.0
apple,52.0,0.3,0.2,14.0
apple big,261.0,0.29,0.64,13.11
apple green,214.0,0.46,0.5,10.65
apple small,267.0,0.31,0.53,13.95
apple small kashmir,269.0,0.27,0.6,13.99
apples fuji with skin,65.0,0.15,0.16,15.7
apples gala with skin,61.0,0.13,0.15,14.8
apples granny smith with skin,59.0,0.27,0.14,14.2
apples honeycrisp with skin,60.0,0.1,0.1,14.7
apples red delicious with skin,62.0,0.19,0.21,14.8
apricot dried,1321.0,3.17,0.74,72.63
apricot processed,236.0,1.47,0.64,10.93
arecanut,1024.0,2.73,5.51,45.0
arecanut dried brown,1467.0,5.78,4.35,70.42
arecanut dried red color,1477.0,6.46,4.46,70.27
ari fish,415.0,22.01,1.11,0.0
asafoetida,1387.0,6.34,1.26,71.95
ash gourd,73.0,0.79,0.14,2.84
avocado fruit,604.0,2.95,13.86,1.75
bael fruit,569.0,2.63,0.57,28.21
bajra,908.5,10.98,5.215,64.39
bamboo shoot tender,68.0,1.33,0.35,1.67
banana,89.0,1.1,0.3,23.0
banana ripe montham,463.0,1.25,0.32,24.95
banana ripe poovam,445.0,1.49,0.35,23.41
banana ripe red,467.0,1.29,0.29,25.21
banana ripe robusta,440.0,1.23,0.33,23.63
bananas overripe,85.0,0.73,0.22,20.1
bananas ripe and slightly ripe,97.0,0.74,0.29,23.0
barley,836.5,11.469999999999999,1.65,67.145
basella leaves,82.0,1.57,0.45,2.01
basmati rice,125.5,3.1,0.35,26.5
bathua leaves,116.0,2.5,0.44,2.56
bean scarlet tender,179.0,2.86,0.99,5.16
beans,31.0,1.8,0.1,7.0
beans snap green canned regular pack drained solids,21.0,1.04,0.39,4.11
beef,250.0,26.0,15.0,0.0
beef brain,523.0,10.55,9.28,0.0
beef chops,585.0,19.82,6.71,0.0
beef heart,433.0,17.68,3.57,0.0
beef kidneys,439.0,17.09,4.01,0.0
beef liver,499.0,20.73,3.96,0.0
beef loin tenderloin roast separable trimmed to fat select,176.0,27.7,6.36,0.0
beef loin top loin steak lip on separable trimmed to fat choice,155.0,22.8,6.39,0.0
beef lungs,351.0,15.66,2.28,0.0
beef round,658.0,22.64,7.38,0.0
beef round eye of round roast separable trimmed to fat select,122.0,23.4,2.48,0.0
beef round top round roast separable trimmed to fat select,123.0,23.7,2.41,0.0
beef short loin porterhouse steak separable trimmed to fat select,145.0,22.7,5.32,0.0
beef short loin t bone steak bone in separable trimmed to fat choice grilled,219.0,27.3,11.4,0.0
beef shoulder,889.0,20.56,14.59,0.0
beef spleen,378.0,17.42,2.22,0.0
beef tongue,731.0,15.63,12.57,0.0
beef tripe,316.0,13.1,2.51,0.0
beet greens,145.0,2.38,0.75,3.86
beet root,149.0,1.95,0.14,6.18
beetroot,43.0,1.6,0.2,10.0
bengal gram dal,1377.0,21.55,5.31,46.72
bengal gram whole,1201.0,18.77,5.11,39.56
betel leaves big,202.0,2.51,0.75,7.37
betel leaves small,183.0,2.62,0.75,6.16
betki,284.0,15.28,0.29,0.0
bitter gourd jagged smooth ridges elongate,81.0,1.61,0.26,2.29
bitter gourd jagged teeth ridges elongate,87.0,1.44,0.24,2.82
bitter gourd jagged teeth ridges short,79.0,1.34,0.24,2.53
black berry,227.0,0.92,0.63,10.64
black gram dal,1356.0,23.06,1.69,51.0
black gram whole,1219.0,21.97,1.58,43.99
black pepper,251.0,10.0,3.3,64.0
black snapper,377.0,19.5,1.24,0.0
bombay duck,287.0,13.53,1.03,0.0
bommuralu,485.0,22.3,2.87,0.0
bottle gourd,15.0,0.6,0.1,3.7
bottle gourd elongate dark green,54.0,0.49,0.13,2.25
bottle gourd elongate pale green,46.0,0.53,0.13,1.68
bottle gourd round pale green,57.0,0.42,0.12,2.53
bread white commercially prepared,270.0,9.43,3.59,49.2
bread whole wheat commercially prepared,254.0,12.3,3.55,43.1
brinjal,63.61363636363637,1.234090909090909,0.2593181818181818,4.805681818181818
brinjal all varieties,106.0,1.48,0.32,3.52
broad beans,123.0,3.85,0.15,2.11
broccoli,31.5,2.57,0.34,6.279999999999999
broiler chicken,215.0,27.0,11.0,0.0
brown rice,111.0,2.6,0.9,23.0
brussels sprouts,185.0,4.26,0.5,5.09
butter,717.0,0.9,81.0,0.1
buttermilk,40.0,3.3,1.0,4.8
button mushroom,115.0,3.68,0.42,1.98
cabbage,25.0,1.3,0.1,6.0
cabbage chinese,75.0,1.58,0.13,2.36
cabbage collard greens,126.0,3.63,0.27,2.79
cabbage green,90.0,1.36,0.12,3.25
cabbage violet,97.0,1.39,0.21,3.54
calf brain,448.0,9.84,7.6,0.0
calf chops,524.0,22.47,3.85,0.0
calf heart,459.0,18.84,3.75,0.0
calf kidneys,387.0,15.16,3.5,0.0
calf liver,503.0,21.02,3.95,0.0
calf round,615.0,21.1,6.92,0.0
calf shoulder,633.0,20.98,7.47,0.0
calf spleen,379.0,17.71,2.12,0.0
calf tongue,737.0,17.78,11.76,0.0
capsicum,20.0,0.9,0.2,4.6
capsicum green,68.0,1.11,0.34,1.84
capsicum red,83.0,1.47,0.47,2.14
capsicum yellow,78.0,1.35,0.41,1.95
cardamom black,1132.0,6.69,2.8,52.53
cardamom green,1067.0,8.1,2.6,47.76
carrot,41.0,0.9,0.2,10.0
carrot orange,139.0,0.95,0.47,5.55
carrot red,160.0,1.04,0.47,6.71
carrots frozen unprepared,37.0,0.81,0.47,7.92
cashew nut,2438.0,18.78,45.2,25.46
cashew nuts,553.0,18.0,44.0,30.0
cashews,553.0,18.0,44.0,30.0
cat fish,487.0,19.02,4.1850000000000005,0.0
catla,394.0,17.94,2.15,0.0
cauliflower,42.75,1.9625,0.33499999999999996,4.2575
cauliflower leaves,148.0,3.9,0.42,3.39
celery stalk,69.0,0.98,0.24,2.33
chakla,406.0,20.21,1.68,0.0
chana dal,364.0,21.0,5.6,60.0
chappal,317.0,17.17,0.67,0.0
cheese,402.0,25.0,33.0,1.3
cheese american restaurant,375.0,17.5,31.1,6.35
cheese cheddar,408.0,23.3,34.0,2.44
cheese cottage lowfat milkfat,84.0,11.0,2.3,4.31
cheese dry white queso seco,326.0,24.5,24.3,2.07
cheese mozzarella low moisture part skim,298.0,23.7,20.4,4.44
cheese parmesan grated,421.0,29.6,28.0,12.4
cheese ricotta whole milk,157.0,7.81,11.0,6.86
cheese swiss,393.0,27.0,31.0,1.44
cheese urized process american vitamin d fortified,366.0,18.0,30.6,5.27
chelu,366.0,20.02,0.7,0.0
chembali,406.0,20.06,1.77,0.0
cherries red,250.0,1.49,0.46,11.87
chicken,239.0,27.0,14.0,0.0
chicken breast,165.0,31.0,3.6,0.0
chicken broiler or fryers breast meat braised,166.0,32.1,3.24,0.0
chicken broilers or fryers drumstick meat braised,156.0,23.9,5.95,0.0
chicken leg,216.0,27.0,12.0,0.0
chicken mushroom,89.0,1.84,0.25,2.76
chicken poultry breast,704.0,21.81,9.0,0.0
chicken poultry leg,1605.0,19.44,12.64,0.0
chicken poultry thigh,836.0,18.18,14.23,0.0
chicken poultry wing,807.0,17.42,13.81,0.0
chillies green,176.42857142857142,2.392857142857143,0.6942857142857143,5.8585714285714285
chillies green all varieties,177.0,2.36,0.72,5.86
chillies red,990.0,12.69,6.4,29.46
cho cho marrow,79.0,0.66,0.15,3.47
clam green shell,243.0,12.14,0.98,0.0
clam white shell ribbed,250.0,11.82,1.34,0.0
cloves,781.0,5.86,8.41,18.73
cluster beans,168.0,3.55,0.37,4.91
coconut kernal dry,2611.0,7.27,63.26,8.01
coconut kernel,1711.0,3.84,41.38,6.3
coconut oil,431.0,0.0,50.0,0.0
coconut water,64.0,0.26,0.16,3.16
colocasia,372.0,3.31,0.17,17.85
colocasia leaves green,182.0,3.42,1.38,3.69
colocasia stem black,100.0,0.76,0.34,3.83
colocasia stem green,81.0,0.91,0.22,2.86
cookies oatmeal soft with raisins,430.0,5.79,14.3,69.6
coriander,298.0,12.0,18.0,55.0
coriander leaves,76.5,2.81,0.6,2.815
coriander seeds,1125.0,10.66,17.47,12.98
corn,86.0,3.2,1.2,19.0
corn baby,306.0,2.69,1.33,11.66
corn flour,381.0,7.0,1.7,86.0
corn oil,0.0,0.0,0.0,0.0
cotton seed oil,0.0,0.0,0.0,0.0
country hen breast with skin,753.0,22.08,10.2,0.0
country hen leg with skin,723.0,17.01,11.73,0.0
country hen thigh with skin,785.0,18.29,12.82,0.0
country hen wing with skin,764.0,18.65,12.09,0.0
cowpea brown,1340.0,20.36,1.15,54.62
cowpea white,1340.0,21.25,1.14,53.77
crab,335.0,11.73,1.15,0.0
crab sea,283.0,15.36,0.6,0.0
